persona,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating
0,3.2386363636363638,3.352272727272727,2.9375,2.9318181818181817,3.1193181818181817,2.6193181818181817,3.6306818181818183
1,2.786046511627907,2.8093023255813954,3.2883720930232556,3.4139534883720932,2.818604651162791,3.311627906976744,3.269767441860465
2,3.18974358974359,2.8205128205128207,2.6769230769230767,2.8974358974358974,2.712820512820513,2.292307692307692,3.3897435897435897
3,3.1129032258064515,3.193548387096774,3.0591397849462365,3.3870967741935485,3.10752688172043,3.2096774193548385,3.9408602150537635
4,2.8739495798319328,3.899159663865546,3.2184873949579833,3.310924369747899,3.676470588235294,2.865546218487395,3.6050420168067228
