persona,Highbrow Cultural Capital,Fearful & Sentimental,Sociable & Energetic,"Tech, Cars & Action",Conscientious & Organised,Pop-Culture Entertainment,Life-Science / Medical,Status & Assertiveness
0,-0.2959129743286321,-0.06536735872165629,-0.183993116755666,-0.27551213922988954,0.25600062998360795,0.26886336001032546,1.3532901734788092,-0.11639711219231419
1,-0.714883599637447,-0.6190949746662885,0.00041580489025482,0.685146344673886,-0.4113369389188913,-0.34925833897905834,-0.40177171574399567,-0.13342996936400206
2,0.5902094560450596,-0.04859468296756105,-0.09517539777135643,-0.7898491074975179,-0.13087092841360484,-0.6787383199556597,-0.24780205888736234,-0.34248264461067784
3,0.884898091927659,-0.12134554740003049,0.42391896319418954,0.6571868589582356,0.5509612097622482,0.13569758214801098,-0.00457637114511004,0.1721631448113475
4,-0.3105093765690791,0.7422534020308558,-0.11763165584500972,-0.28164919077580186,-0.14108244951545643,0.5667429144138829,-0.43119976945918165,0.35266851228268575
