Highbrow Cultural Capital,Fearful & Sentimental,Sociable & Energetic,"Tech, Cars & Action",Conscientious & Organised,Pop-Culture Entertainment,Life-Science / Medical,Status & Assertiveness
-1.2040770414109907,-0.33905454685311226,0.8371119797199517,-0.6836904113582258,0.8201604929666774,0.46317915185183145,0.6998669679969646,-1.6420138398125905
-0.8982599843794202,-1.8134266527790017,-0.6395250877305263,-0.6124015346170735,0.5132718897770299,0.45943536846752386,-0.9966622553445815,0.59819568941045
1.8038131517086835,-0.5458784499697957,0.16499393381107375,-0.9543976945944095,-0.7458156220318647,0.7688683255069845,0.09950771331178287,-0.28212355747637
-0.34794236527624267,-0.5428307217558129,-2.543176734414454,-1.1992569591404307,0.9229097613450118,-1.9533185823065797,-0.43641506891361587,2.6990874574574613
-0.46572227569403496,-0.08767373754489576,0.21447858130175768,-0.13884473933206307,0.5854226217427824,-0.39024738390576424,0.27397549865660126,-0.6168726514931415
0.5130798147278387,-1.3930952317467358,-0.07852536650569847,0.5590747970624986,-0.3371598806848285,0.1858784518317446,0.7915827941761632,0.04865303394154533
-1.0598702109339615,0.020541712463451288,1.1324891384186764,-1.3811500581977205,1.2223405728963808,0.047588050761031044,2.147749182835392,0.005058800327743822
-0.9592340592196521,0.08258070314255836,0.25561962200934707,0.034685044705037506,-0.6344200012515774,0.32394031434481674,-0.8452195300632217,-0.3399794893815748
-0.552466742963253,0.10164621350823937,-1.8928937250513058,-1.2960617356206017,-0.6356414635298089,0.46606171480331854,-0.5075175221231865,-1.4704184769537292
1.0643762444912819,1.452677474810639,0.09702779450367383,-1.2499497955994388,0.07756753299830643,0.7553548516021603,-1.2011075754685538,-0.5200620321669043
-0.8572866333240194,-0.08195239942960679,-0.13655019270974073,-0.3578206812338424,0.9579351834391077,0.9253021216785547,-0.6688726264471805,-0.7632893219748469
0.2667808432340288,0.17637449712713932,-1.0512030321758363,-0.33977175962917977,-0.9833171035374195,-0.30987541505754235,-1.5982247357369213,1.1557869727458012
-0.24154825067588004,-1.0404702646496646,-1.2787230853697578,-1.2828534204102522,1.5305081353729726,0.22933918460705666,1.3595552921086176,0.9409867082559188
-1.1542295067626445,1.1158523841347694,0.543643064943133,-0.9696034478568769,0.19598927521637763,0.9992731429569375,-0.5281586432406655,-0.35108204031112705
-0.09494380954497487,1.3451929016960853,-0.7262478932795894,-1.345256976169671,1.2074223384747633,1.0645831805893957,-0.9376536484808395,-0.8757306492329275
0.40296092718759485,-1.4331576439949287,-0.9124653980661908,1.160893466415115,0.6033695849696746,0.43707120634842356,0.942965656777782,1.195123321022625
-1.5718015918431871,0.5263335085965494,-0.3084835280828944,-0.3805842693854488,-0.9418556513593027,0.1640573444624776,0.9028238262206588,0.23781863557505756
-0.0029515941804411335,0.8092226353576827,-2.065772715861009,0.03460866992062452,-0.47147681152594456,-0.47056609968704544,1.9000650930964018,0.8235737061213132
0.31290288644506636,-0.7799706932166125,-0.5081369394012206,2.04245557402177,0.832474352640865,0.022493096812972624,0.4202846668907097,-1.318206992930254
0.24557638782542351,-0.8261422250294622,0.034819473828503554,0.9303432371959176,-0.44434574847063063,0.3575528955215061,-1.1536806168160516,-0.7106472010474656
0.9197155327698564,-1.311134286505755,0.03527982626355617,0.9747196021832761,-0.6090513431959603,0.34573103314589043,0.8165752052728841,0.21840937284097445
0.08893243713573773,-2.4713634826078037,0.9500503558755824,0.4181995293659796,-0.6887760610773778,0.7440183076995479,-0.2704376487878536,0.5352284397327536
-0.29459696301364086,0.3456664612427567,-0.09777352532510038,0.02896005868295115,-0.2719148682056749,-0.2365743333855272,0.06254889569003706,-2.014463318047437
0.12692021700153097,0.5752353808764338,-0.6360937351141933,-0.2863168865605987,-0.43441994806581885,1.0260079551507453,1.605955760399594,0.029205868671199023
0.549142186598538,0.5877652377875372,-1.0316469075532253,-0.34134292578719094,1.4171975151522673,0.7895110707631834,0.10613467549715898,2.7389877867886843
-1.6592949577214293,1.1685528927886628,0.01170418861743735,-1.580223801924544,0.8284421411764484,0.10289755452693315,-0.721167903241248,0.2912371139874661
0.608154393527019,0.35279804787539876,0.3524837640509829,0.5307126688097035,0.4992245038431311,0.42251674073945733,1.8522779199789252,-1.2564641107690746
-0.3560160758583151,0.007304197771511876,-0.3326002622392128,-0.06130353483396556,-0.08842054440506664,-0.6185951033809893,1.3832506878814086,-0.8170762376801214
-1.4856470009745268,-0.07234675872164456,1.9423531253639124,0.7030617298061588,0.0049456600809521635,0.7471515934774662,-0.6666684239620393,0.7632198302072369
0.6744518153418354,1.5627003736159595,-0.06477807183855823,-0.36532584797258544,0.8075003969441519,1.1147916947301608,0.15686746623592235,0.6120564081185202
