persona,n,mean_age,pct_female,pct_of_sample
0,176,19.767045454545453,78.4090909090909,17.425742574257423
1,215,20.372093023255815,11.627906976744185,21.287128712871286
2,195,20.76923076923077,73.33333333333333,19.306930693069308
3,186,21.172043010752688,41.935483870967744,18.415841584158414
4,238,20.11764705882353,90.33613445378151,23.564356435643564
