,mean,std,median
Spending on healthy eating,3.5584158415841585,1.092842496813226,4.0
Shopping centres,3.233663366336634,1.3217909305813274,3.0
Entertainment spending,3.200990099009901,1.1872292909949713,3.0
Spending on looks,3.105940594059406,1.2035890976540615,3.0
Branded clothing,3.0504950495049505,1.3050275401501283,3.0
Finances,3.023762376237624,1.142662940507746,3.0
Spending on gadgets,2.87029702970297,1.2849702618066852,3.0
