,SS_loading,prop_var,cum_var
F1,5.812344170297725,0.045408938830450975,0.045408938830450975
F2,5.5284371694448,0.0431909153862875,0.08859985421673847
F3,4.987801313660231,0.03896719776297056,0.12756705197970902
F4,4.280191817621388,0.03343899857516709,0.1610060505548761
F5,3.344212952595357,0.026126663692151227,0.18713271424702732
F6,2.849131850967497,0.022258842585683572,0.20939155683271088
F7,2.694948578890715,0.02105428577258371,0.2304458426052946
F8,2.512456828295741,0.019628568971060478,0.25007441157635507
